03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-2.78441,0,1.33744
1,328,-328,4,-2.57976,1.28988,1.60787
2,321,7,8,-3.39835,1.69918,0.526181
3,314,7,12,-4.21694,2.10847,-0.555503
4,302,12,16,-5.03553,2.51777,-1.63719
5,282,20,20,-5.85412,2.92706,-2.71887
6,259,23,24,-6.67271,3.33635,-3.80056
7,238,21,28,-7.4913,3.74565,-4.88224
8,216,22,32,-8.30989,4.15494,-5.96392
9,196,20,36,-9.12848,4.56424,-7.04561
10,169,27,40,-9.94707,4.97353,-8.12729
11,148,21,44,-10.7657,5.38283,-9.20898
12,134,14,48,-11.5842,5.79212,-10.2907
03_04_23_155108
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-2.78441,0,1.33744
1,331,-331,4,-2.57976,1.28988,1.60787
2,327,4,8,-3.39835,1.69918,0.526181
3,316,11,12,-4.21694,2.10847,-0.555503
4,304,12,16,-5.03553,2.51777,-1.63719
5,284,20,20,-5.85412,2.92706,-2.71887
6,270,14,24,-6.67271,3.33635,-3.80056
7,239,31,28,-7.4913,3.74565,-4.88224
8,219,20,32,-8.30989,4.15494,-5.96392
9,186,33,36,-9.12848,4.56424,-7.04561
10,168,18,40,-9.94707,4.97353,-8.12729
11,148,20,44,-10.7657,5.38283,-9.20898
12,135,13,48,-11.5842,5.79212,-10.2907
13,119,16,48,-16.2179,8.10897,-14.4069
13,65,0,48,-16.2179,8.10897,-14.4069
13,60,5,48,-16.2179,8.10897,-14.4069
